-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
35.0,-121.875,2021,1,6.56
35.0,-121.25,2021,1,5.1
35.0,-120.625,2021,1,4.12
35.0,-120.0,2021,1,3.84
35.0,-119.375,2021,1,3.45
35.0,-118.75,2021,1,5.82
35.0,-118.125,2021,1,7.12
35.0,-117.5,2021,1,7.37
35.0,-116.875,2021,1,6.89
35.0,-116.25,2021,1,5.76
35.0,-115.625,2021,1,7.57
35.0,-115.0,2021,1,9.19
35.5,-121.875,2021,1,5.44
35.5,-121.25,2021,1,4.02
35.5,-120.625,2021,1,3.13
35.5,-120.0,2021,1,2.91
35.5,-119.375,2021,1,2.77
35.5,-118.75,2021,1,4.61
35.5,-118.125,2021,1,5.67
35.5,-117.5,2021,1,7.21
35.5,-116.875,2021,1,6.98
35.5,-116.25,2021,1,5.96
35.5,-115.625,2021,1,6.59
35.5,-115.0,2021,1,7.64
36.0,-121.875,2021,1,4.19
36.0,-121.25,2021,1,2.56
36.0,-120.625,2021,1,2.8
36.0,-120.0,2021,1,3.09
36.0,-119.375,2021,1,3.11
36.0,-118.75,2021,1,3.28
36.0,-118.125,2021,1,4.99
36.0,-117.5,2021,1,6.77
36.0,-116.875,2021,1,5.88
36.0,-116.25,2021,1,5.88
36.0,-115.625,2021,1,6.78
36.0,-115.0,2021,1,7.43
36.5,-121.875,2021,1,2.55
36.5,-121.25,2021,1,1.81
36.5,-120.625,2021,1,3.3
36.5,-120.0,2021,1,3.12
36.5,-119.375,2021,1,3.82
36.5,-118.75,2021,1,3.96
36.5,-118.125,2021,1,3.68
36.5,-117.5,2021,1,3.95
36.5,-116.875,2021,1,5.04
36.5,-116.25,2021,1,6.95
36.5,-115.625,2021,1,6.89
36.5,-115.0,2021,1,7.32
37.0,-121.875,2021,1,1.95
37.0,-121.25,2021,1,2.4
37.0,-120.625,2021,1,2.57
37.0,-120.0,2021,1,3.32
37.0,-119.375,2021,1,3.99
37.0,-118.75,2021,1,4.18
37.0,-118.125,2021,1,2.64
37.0,-117.5,2021,1,4.46
37.0,-116.875,2021,1,6.43
37.0,-116.25,2021,1,7.77
37.0,-115.625,2021,1,7.21
37.0,-115.0,2021,1,6.57
37.5,-121.875,2021,1,2.42
37.5,-121.25,2021,1,3.07
37.5,-120.625,2021,1,3.53
37.5,-120.0,2021,1,3.84
37.5,-119.375,2021,1,4.23
37.5,-118.75,2021,1,5.33
37.5,-118.125,2021,1,2.89
37.5,-117.5,2021,1,4.49
37.5,-116.875,2021,1,6.15
37.5,-116.25,2021,1,6.88
37.5,-115.625,2021,1,6.95
37.5,-115.0,2021,1,7.15
38.0,-121.875,2021,1,3.28
38.0,-121.25,2021,1,3.99
38.0,-120.625,2021,1,3.79
38.0,-120.0,2021,1,4.04
38.0,-119.375,2021,1,3.62
38.0,-118.75,2021,1,6.45
38.0,-118.125,2021,1,2.84
38.0,-117.5,2021,1,3.63
