-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
32.5,-120.0,2021,1,9.57
32.5,-119.375,2021,1,8.39
32.5,-118.75,2021,1,7.53
32.5,-118.125,2021,1,5.98
32.5,-117.5,2021,1,3.24
32.5,-116.875,2021,1,5.28
32.5,-116.25,2021,1,5.33
32.5,-115.625,2021,1,5.3
32.5,-115.0,2021,1,5.39
32.5,-114.375,2021,1,4.27
33.0,-120.0,2021,1,9.22
33.0,-119.375,2021,1,7.22
33.0,-118.75,2021,1,7.28
33.0,-118.125,2021,1,5.97
33.0,-117.5,2021,1,5.24
33.0,-116.875,2021,1,5.73
33.0,-116.25,2021,1,5.17
33.0,-115.625,2021,1,6.31
33.0,-115.0,2021,1,7.27
33.0,-114.375,2021,1,5.84
33.5,-120.0,2021,1,8.4
33.5,-119.375,2021,1,6.69
33.5,-118.75,2021,1,7.25
33.5,-118.125,2021,1,5.59
33.5,-117.5,2021,1,6.01
33.5,-116.875,2021,1,4.79
33.5,-116.25,2021,1,5.79
33.5,-115.625,2021,1,8.06
33.5,-115.0,2021,1,7.94
33.5,-114.375,2021,1,5.17
34.0,-120.0,2021,1,6.26
34.0,-119.375,2021,1,5.8
34.0,-118.75,2021,1,7.19
34.0,-118.125,2021,1,6.8
34.0,-117.5,2021,1,8.01
34.0,-116.875,2021,1,7.52
34.0,-116.25,2021,1,7.01
34.0,-115.625,2021,1,7.48
34.0,-115.0,2021,1,7.58
34.0,-114.375,2021,1,5.17
34.5,-120.0,2021,1,5.37
34.5,-119.375,2021,1,3.94
34.5,-118.75,2021,1,7.38
34.5,-118.125,2021,1,8.07
34.5,-117.5,2021,1,7.47
34.5,-116.875,2021,1,7.56
34.5,-116.25,2021,1,6.6
34.5,-115.625,2021,1,6.78
34.5,-115.0,2021,1,8.33
34.5,-114.375,2021,1,6.17
32.5,-120.0,2021,2,7.32
32.5,-119.375,2021,2,7.01
32.5,-118.75,2021,2,5.68
32.5,-118.125,2021,2,4.3
32.5,-117.5,2021,2,3.22
32.5,-116.875,2021,2,3.08
32.5,-116.25,2021,2,3.53
32.5,-115.625,2021,2,3.92
32.5,-115.0,2021,2,3.23
32.5,-114.375,2021,2,2.95
33.0,-120.0,2021,2,6.7
33.0,-119.375,2021,2,6.72
33.0,-118.75,2021,2,5.9
33.0,-118.125,2021,2,3.73
33.0,-117.5,2021,2,2.84
33.0,-116.875,2021,2,3.36
33.0,-116.25,2021,2,2.8
33.0,-115.625,2021,2,2.86
33.0,-115.0,2021,2,3.69
33.0,-114.375,2021,2,3.27
33.5,-120.0,2021,2,6.75
33.5,-119.375,2021,2,6.04
33.5,-118.75,2021,2,4.4
33.5,-118.125,2021,2,3.46
33.5,-117.5,2021,2,2.8
33.5,-116.875,2021,2,2.74
33.5,-116.25,2021,2,2.56
33.5,-115.625,2021,2,2.94
33.5,-115.0,2021,2,3.3
33.5,-114.375,2021,2,3.28
34.0,-120.0,2021,2,5.8
34.0,-119.375,2021,2,4.51
34.0,-118.75,2021,2,3.07
34.0,-118.125,2021,2,2.84
34.0,-117.5,2021,2,2.81
34.0,-116.875,2021,2,3.42
34.0,-116.25,2021,2,2.81
34.0,-115.625,2021,2,2.78
34.0,-115.0,2021,2,3.67
34.0,-114.375,2021,2,3.02
34.5,-120.0,2021,2,4.07
34.5,-119.375,2021,2,2.02
34.5,-118.75,2021,2,3.05
34.5,-118.125,2021,2,3.63
34.5,-117.5,2021,2,4.02
34.5,-116.875,2021,2,4.47
34.5,-116.25,2021,2,3.16
34.5,-115.625,2021,2,3.36
34.5,-115.0,2021,2,4.33
34.5,-114.375,2021,2,2.7
32.5,-120.0,2021,3,7.75
32.5,-119.375,2021,3,7.47
32.5,-118.75,2021,3,6.4
32.5,-118.125,2021,3,5.1
32.5,-117.5,2021,3,3.92
32.5,-116.875,2021,3,3.77
32.5,-116.25,2021,3,2.65
32.5,-115.625,2021,3,3.32
32.5,-115.0,2021,3,3.44
32.5,-114.375,2021,3,3.43
33.0,-120.0,2021,3,7.46
33.0,-119.375,2021,3,7.24
33.0,-118.75,2021,3,5.67
33.0,-118.125,2021,3,3.7
33.0,-117.5,2021,3,3.15
33.0,-116.875,2021,3,2.8
33.0,-116.25,2021,3,2.68
33.0,-115.625,2021,3,2.26
33.0,-115.0,2021,3,4.11
33.0,-114.375,2021,3,3.96
33.5,-120.0,2021,3,7.34
33.5,-119.375,2021,3,6.74
33.5,-118.75,2021,3,3.38
33.5,-118.125,2021,3,3.06
33.5,-117.5,2021,3,3.3
33.5,-116.875,2021,3,2.42
33.5,-116.25,2021,3,1.89
33.5,-115.625,2021,3,3.08
33.5,-115.0,2021,3,3.37
33.5,-114.375,2021,3,3.18
34.0,-120.0,2021,3,5.47
34.0,-119.375,2021,3,3.14
34.0,-118.75,2021,3,2.57
34.0,-118.125,2021,3,2.05
34.0,-117.5,2021,3,2.11
34.0,-116.875,2021,3,2.3
34.0,-116.25,2021,3,2.42
34.0,-115.625,2021,3,3.04
34.0,-115.0,2021,3,3.48
34.0,-114.375,2021,3,3.19
34.5,-120.0,2021,3,2.85
34.5,-119.375,2021,3,2.28
34.5,-118.75,2021,3,3.06
34.5,-118.125,2021,3,3.18
34.5,-117.5,2021,3,2.47
