-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
38.5,-123.75,2023,1,13.06
38.5,-123.125,2023,1,6.8
38.5,-122.5,2023,1,7.24
38.5,-121.875,2023,1,10.8
38.5,-121.25,2023,1,7.82
38.5,-120.625,2023,1,4.74
38.5,-120.0,2023,1,4.76
39.0,-123.75,2023,1,8.56
39.0,-123.125,2023,1,3.58
39.0,-122.5,2023,1,8.52
39.0,-121.875,2023,1,9.26
39.0,-121.25,2023,1,4.89
39.0,-120.625,2023,1,4.42
39.0,-120.0,2023,1,5.65
39.5,-123.75,2023,1,5.64
39.5,-123.125,2023,1,3.02
39.5,-122.5,2023,1,8.45
39.5,-121.875,2023,1,7.12
39.5,-121.25,2023,1,4.74
39.5,-120.625,2023,1,4.71
39.5,-120.0,2023,1,4.08
40.0,-123.75,2023,1,3.46
40.0,-123.125,2023,1,3.07
40.0,-122.5,2023,1,8.82
40.0,-121.875,2023,1,7.11
40.0,-121.25,2023,1,4.46
40.0,-120.625,2023,1,4.33
40.0,-120.0,2023,1,4.33
40.5,-123.75,2023,1,2.44
40.5,-123.125,2023,1,2.16
40.5,-122.5,2023,1,3.95
40.5,-121.875,2023,1,6.15
40.5,-121.25,2023,1,4.55
40.5,-120.625,2023,1,5.36
40.5,-120.0,2023,1,6.77
41.0,-123.75,2023,1,2.56
41.0,-123.125,2023,1,2.16
41.0,-122.5,2023,1,3.17
41.0,-121.875,2023,1,4.51
41.0,-121.25,2023,1,6.34
41.0,-120.625,2023,1,6.72
41.0,-120.0,2023,1,8.16
41.5,-123.75,2023,1,3.24
41.5,-123.125,2023,1,2.4
41.5,-122.5,2023,1,3.21
41.5,-121.875,2023,1,3.95
41.5,-121.25,2023,1,6.06
41.5,-120.625,2023,1,7.27
41.5,-120.0,2023,1,7.64
38.5,-123.75,2023,2,9.6
38.5,-123.125,2023,2,6.51
38.5,-122.5,2023,2,4.99
38.5,-121.875,2023,2,6.36
38.5,-121.25,2023,2,6.7
38.5,-120.625,2023,2,5.61
38.5,-120.0,2023,2,3.73
39.0,-123.75,2023,2,7.36
39.0,-123.125,2023,2,3.22
39.0,-122.5,2023,2,4.34
39.0,-121.875,2023,2,5.92
39.0,-121.25,2023,2,5.74
39.0,-120.625,2023,2,4.46
39.0,-120.0,2023,2,3.36
39.5,-123.75,2023,2,5.86
39.5,-123.125,2023,2,2.53
39.5,-122.5,2023,2,4.18
39.5,-121.875,2023,2,6.25
39.5,-121.25,2023,2,4.4
39.5,-120.625,2023,2,3.28
39.5,-120.0,2023,2,2.85
40.0,-123.75,2023,2,4.29
40.0,-123.125,2023,2,2.3
40.0,-122.5,2023,2,4.95
40.0,-121.875,2023,2,6.78
40.0,-121.25,2023,2,3.27
40.0,-120.625,2023,2,2.36
40.0,-120.0,2023,2,3.15
40.5,-123.75,2023,2,3.36
40.5,-123.125,2023,2,2.09
40.5,-122.5,2023,2,3.58
40.5,-121.875,2023,2,4.42
40.5,-121.25,2023,2,2.96
40.5,-120.625,2023,2,3.07
40.5,-120.0,2023,2,4.1
41.0,-123.75,2023,2,3.58
41.0,-123.125,2023,2,2.71
41.0,-122.5,2023,2,2.26
41.0,-121.875,2023,2,2.68
41.0,-121.25,2023,2,4.1
41.0,-120.625,2023,2,5.23
41.0,-120.0,2023,2,4.78
41.5,-123.75,2023,2,3.27
41.5,-123.125,2023,2,2.7
41.5,-122.5,2023,2,3.6
41.5,-121.875,2023,2,3.23
41.5,-121.25,2023,2,3.81
41.5,-120.625,2023,2,5.48
41.5,-120.0,2023,2,5.64
38.5,-123.75,2023,3,11.22
38.5,-123.125,2023,3,6.11
38.5,-122.5,2023,3,4.92
38.5,-121.875,2023,3,4.01
38.5,-121.25,2023,3,5.21
38.5,-120.625,2023,3,4.13
38.5,-120.0,2023,3,3.42
39.0,-123.75,2023,3,8.75
39.0,-123.125,2023,3,3.37
39.0,-122.5,2023,3,3.54
39.0,-121.875,2023,3,3.37
39.0,-121.25,2023,3,4.24
39.0,-120.625,2023,3,2.62
39.0,-120.0,2023,3,3.85
39.5,-123.75,2023,3,7.07
39.5,-123.125,2023,3,2.79
39.5,-122.5,2023,3,2.47
39.5,-121.875,2023,3,4.59
39.5,-121.25,2023,3,2.97
39.5,-120.625,2023,3,2.41
39.5,-120.0,2023,3,2.89
40.0,-123.75,2023,3,4.93
40.0,-123.125,2023,3,2.51
40.0,-122.5,2023,3,3.44
40.0,-121.875,2023,3,5.82
40.0,-121.25,2023,3,2.66
40.0,-120.625,2023,3,2.84
40.0,-120.0,2023,3,2.18
40.5,-123.75,2023,3,3.85
40.5,-123.125,2023,3,2.31
40.5,-122.5,2023,3,2.93
40.5,-121.875,2023,3,4.84
40.5,-121.25,2023,3,3.38
40.5,-120.625,2023,3,3.68
40.5,-120.0,2023,3,3.23
41.0,-123.75,2023,3,4.42
41.0,-123.125,2023,3,3.05
41.0,-122.5,2023,3,2.5
41.0,-121.875,2023,3,3.56
41.0,-121.25,2023,3,4.93
41.0,-120.625,2023,3,4.79
41.0,-120.0,2023,3,5.18
41.5,-123.75,2023,3,3.66
41.5,-123.125,2023,3,3.27
41.5,-122.5,2023,3,5.05
41.5,-121.875,2023,3,4.9
41.5,-121.25,2023,3,5.85
41.5,-120.625,2023,3,5.59
41.5,-120.0,2023,3,5.35
38.5,-123.75,2023,4,19.66
38.5,-123.125,2023,4,13.19
38.5,-122.5,2023,4,11.05
38.5,-121.875,2023,4,11.45
38.5,-121.25,2023,4,13.1
38.5,-120.625,2023,4,10.02
38.5,-120.0,2023,4,7.47
39.0,-123.75,2023,4,15.0
39.0,-123.125,2023,4,7.37
39.0,-122.5,2023,4,11.37
39.0,-121.875,2023,4,12.77
39.0,-121.25,2023,4,11.16
39.0,-120.625,2023,4,6.94
39.0,-120.0,2023,4,6.74
39.5,-123.75,2023,4,12.75
39.5,-123.125,2023,4,6.26
39.5,-122.5,2023,4,11.19
39.5,-121.875,2023,4,13.53
39.5,-121.25,2023,4,9.31
39.5,-120.625,2023,4,5.75
39.5,-120.0,2023,4,4.95
40.0,-123.75,2023,4,9.96
40.0,-123.125,2023,4,6.45
40.0,-122.5,2023,4,12.13
40.0,-121.875,2023,4,14.28
40.0,-121.25,2023,4,6.65
40.0,-120.625,2023,4,5.14
40.0,-120.0,2023,4,5.54
40.5,-123.75,2023,4,8.43
40.5,-123.125,2023,4,6.59
40.5,-122.5,2023,4,9.12
40.5,-121.875,2023,4,10.21
40.5,-121.25,2023,4,7.09
40.5,-120.625,2023,4,7.02
40.5,-120.0,2023,4,7.17
41.0,-123.75,2023,4,8.9
41.0,-123.125,2023,4,7.63
41.0,-122.5,2023,4,6.97
41.0,-121.875,2023,4,5.84
41.0,-121.25,2023,4,7.56
41.0,-120.625,2023,4,10.64
41.0,-120.0,2023,4,9.62
41.5,-123.75,2023,4,8.47
41.5,-123.125,2023,4,7.04
41.5,-122.5,2023,4,8.02
41.5,-121.875,2023,4,7.54
41.5,-121.25,2023,4,8.58
41.5,-120.625,2023,4,11.06
41.5,-120.0,2023,4,10.64
38.5,-123.75,2023,5,14.92
38.5,-123.125,2023,5,9.57
38.5,-122.5,2023,5,7.26
38.5,-121.875,2023,5,7.86
38.5,-121.25,2023,5,10.59
38.5,-120.625,2023,5,8.7
38.5,-120.0,2023,5,6.7
39.0,-123.75,2023,5,12.27
39.0,-123.125,2023,5,5.54
39.0,-122.5,2023,5,7.57
39.0,-121.875,2023,5,9.54
39.0,-121.25,2023,5,9.48
39.0,-120.625,2023,5,6.44
39.0,-120.0,2023,5,6.91
39.5,-123.75,2023,5,10.82
39.5,-123.125,2023,5,4.99
39.5,-122.5,2023,5,8.12
