-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 02/28/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
32.5,-121.875,2025,1,10.26
32.5,-121.25,2025,1,9.69
32.5,-120.625,2025,1,8.85
32.5,-120.0,2025,1,6.98
32.5,-119.375,2025,1,4.5
32.5,-118.75,2025,1,3.86
32.5,-118.125,2025,1,3.73
32.5,-117.5,2025,1,3.37
32.5,-116.875,2025,1,3.95
32.5,-116.25,2025,1,3.53
32.5,-115.625,2025,1,4.32
32.5,-115.0,2025,1,3.17
33.0,-121.875,2025,1,10.33
33.0,-121.25,2025,1,9.71
33.0,-120.625,2025,1,8.69
33.0,-120.0,2025,1,6.33
33.0,-119.375,2025,1,4.1
33.0,-118.75,2025,1,3.77
33.0,-118.125,2025,1,3.41
33.0,-117.5,2025,1,4.05
33.0,-116.875,2025,1,4.2
33.0,-116.25,2025,1,4.23
33.0,-115.625,2025,1,4.44
33.0,-115.0,2025,1,4.61
33.5,-121.875,2025,1,10.18
33.5,-121.25,2025,1,9.49
33.5,-120.625,2025,1,8.42
33.5,-120.0,2025,1,5.97
33.5,-119.375,2025,1,4.0
33.5,-118.75,2025,1,4.14
33.5,-118.125,2025,1,3.04
33.5,-117.5,2025,1,2.91
33.5,-116.875,2025,1,2.96
33.5,-116.25,2025,1,3.5
33.5,-115.625,2025,1,5.73
33.5,-115.0,2025,1,5.13
34.0,-121.875,2025,1,9.92
34.0,-121.25,2025,1,9.61
34.0,-120.625,2025,1,8.06
34.0,-120.0,2025,1,4.62
34.0,-119.375,2025,1,4.48
34.0,-118.75,2025,1,5.05
34.0,-118.125,2025,1,3.56
34.0,-117.5,2025,1,3.18
34.0,-116.875,2025,1,2.77
34.0,-116.25,2025,1,2.8
34.0,-115.625,2025,1,4.91
34.0,-115.0,2025,1,4.53
34.5,-121.875,2025,1,9.57
34.5,-121.25,2025,1,9.28
34.5,-120.625,2025,1,6.32
34.5,-120.0,2025,1,4.65
34.5,-119.375,2025,1,3.56
34.5,-118.75,2025,1,4.61
34.5,-118.125,2025,1,4.58
34.5,-117.5,2025,1,2.73
34.5,-116.875,2025,1,2.8
34.5,-116.25,2025,1,2.72
34.5,-115.625,2025,1,4.45
34.5,-115.0,2025,1,6.24
35.0,-121.875,2025,1,9.56
35.0,-121.25,2025,1,7.64
35.0,-120.625,2025,1,6.51
35.0,-120.0,2025,1,4.53
35.0,-119.375,2025,1,4.1
35.0,-118.75,2025,1,2.94
35.0,-118.125,2025,1,3.57
35.0,-117.5,2025,1,3.45
35.0,-116.875,2025,1,2.94
35.0,-116.25,2025,1,2.46
35.0,-115.625,2025,1,5.38
35.0,-115.0,2025,1,6.77
35.5,-121.875,2025,1,8.56
35.5,-121.25,2025,1,4.97
35.5,-120.625,2025,1,5.34
35.5,-120.0,2025,1,2.84
35.5,-119.375,2025,1,2.83
35.5,-118.75,2025,1,3.28
35.5,-118.125,2025,1,2.08
35.5,-117.5,2025,1,2.57
35.5,-116.875,2025,1,2.57
35.5,-116.25,2025,1,2.98
35.5,-115.625,2025,1,5.05
35.5,-115.0,2025,1,3.75
36.0,-121.875,2025,1,5.7
36.0,-121.25,2025,1,3.17
36.0,-120.625,2025,1,3.2
36.0,-120.0,2025,1,2.07
36.0,-119.375,2025,1,2.74
36.0,-118.75,2025,1,2.65
36.0,-118.125,2025,1,3.25
36.0,-117.5,2025,1,2.7
36.0,-116.875,2025,1,1.82
36.0,-116.25,2025,1,2.64
36.0,-115.625,2025,1,3.1
36.0,-115.0,2025,1,3.59
36.5,-121.875,2025,1,3.17
36.5,-121.25,2025,1,2.64
36.5,-120.625,2025,1,2.9
36.5,-120.0,2025,1,2.86
36.5,-119.375,2025,1,2.47
36.5,-118.75,2025,1,1.6
36.5,-118.125,2025,1,2.79
36.5,-117.5,2025,1,2.25
36.5,-116.875,2025,1,2.45
36.5,-116.25,2025,1,3.22
36.5,-115.625,2025,1,2.61
36.5,-115.0,2025,1,3.27
37.0,-121.875,2025,1,2.16
37.0,-121.25,2025,1,2.35
37.0,-120.625,2025,1,2.27
37.0,-120.0,2025,1,2.28
37.0,-119.375,2025,1,2.54
37.0,-118.75,2025,1,2.83
37.0,-118.125,2025,1,2.56
37.0,-117.5,2025,1,2.13
37.0,-116.875,2025,1,2.64
37.0,-116.25,2025,1,3.04
37.0,-115.625,2025,1,2.85
37.0,-115.0,2025,1,2.61
37.5,-121.875,2025,1,2.34
37.5,-121.25,2025,1,1.93
37.5,-120.625,2025,1,1.93
37.5,-120.0,2025,1,2.04
37.5,-119.375,2025,1,1.89
37.5,-118.75,2025,1,5.36
37.5,-118.125,2025,1,3.03
37.5,-117.5,2025,1,3.59
37.5,-116.875,2025,1,3.91
37.5,-116.25,2025,1,4.41
37.5,-115.625,2025,1,3.88
37.5,-115.0,2025,1,3.11
38.0,-121.875,2025,1,1.55
